ජනාධිපති	NNC	O
එම්බකි	NNP	B-PER
දෙවනි	NNC	O
හා	CC	O
අවසාන	JJ	O
වරට	NNC	O
ජනාධිපති	NNC	O
ධූරය	NNC	O
දරමින්	VNF	O
සිටින	VP	O
අතර	POST	O
පක්ෂයෙන්	NNC	O
නිකුත්	RPCV	O
නිවේදනයක	NNC	O
දැක්වෙන්නේ	VP	O
තීරණාත්මක	JJ	O
ජන	JJ	O
වරමක්	NNC	O
ලැබී	VNF	O
ඇති	NIP	O
අතර	POST	O
අනුව	POST	O
දිළිඳුකමට	NNC	O
එරෙහි	RB	O
ව	RP	O
සටන්	NCV	O
වැදීමට	VNN	O
හා	CC	O
රැකියා	NNC	O
මැවීමට	VNN	O
කටයුතු	NCV	O
කළ	VP	O
යුතු	AUX	O
ව	RP	O
ඇති	NIP	O
බව	POST	O
ය	RP	O
.	FS	O
ඉකුත්	JJ	O
දස	NUM	O
වස	NNC	O
තුළ	POST	O
ජාතික	JJ	B-ORG
කොංග්‍රස්	NNJ	I-ORG
පක්ෂයේ	NNC	I-ORG
ක්‍රියාදාමය	NNC	O
ජනතාව	NNC	O
විශාල	JJ	O
වශයෙන්	POST	O
අනුමත	JCV	O
කර	VNF	O
ඇති	NIP	O
බව	POST	O
ද	RP	O
ඉන්	PRP	O
කියැවිණ	VFM	O
.	FS	O
මේ	DET	O
අතර	POST	O
ප්‍රජාතන්ත්‍රවාදී	JJ	B-ORG
පෙරමුණේ	NNC	I-ORG
නායක	NNC	O
ටෝනි	NNP	B-PER
ලියොන්	NNP	I-PER
පවසන්නේ	VP	O
ඔවුන්	PRP	O
සුදු	JJ	O
ජාතික	JJ	O
පක්ෂයක්	NNC	O
ලෙස	POST	O
ගැසී	VNF	O
ඇති	NIP	O
හංවඩුවෙන්	NNC	O
වියුක්ත	JCV	O
වීමට	VNN	O
කටයුතු	NCV	O
කරන	VP	O
බවත්	POST	O
මෙවරත්	NNC	O
කලු	JJ	O
ජාතිකයන්	NNC	O
විශාල	JJ	O
වශයෙන්	POST	O
ඔවුනට	PRP	O
කැමැත්ත	NNC	O
ප්‍රකාශ	NCV	O
කැර	VNF	O
ඇති	NIP	O
බවත්ය	NVB	O
.	FS	O
කොංග්‍රසය	NNP	B-ORG
ලබා	VNF	O
ඇති	NIP	O
බලය	NNC	O
අනුව	POST	O
තෙවැනි	JJ	O
වරටත්	NNC	O
ජනාධිපති	NNC	O
ධූරය	NNC	O
දැරිය	VP	O
හැකි	AUX	O
වන	VP	O
සේ	POST	O
එම්බකි	NNP	B-PER
ව්‍යවස්ථාව	NNC	O
වෙනස්	JCV	O
කරනු	VP	O
ඇතැයි	NIP	O
ද	RP	O
ඔහු	PRP	O
සැක	NNC	O
පහල	JCV	O
කැර	VNF	O
තිබේ	VFM	O
.	FS	O
දකුණු	NNP	B-LOC
කොරියානු	NNP	I-LOC
මහ	JJ	O
මැතිවරණයෙන්	NNC	O
යූරි	NNP	B-ORG
පක්ෂයට	NNC	I-ORG
ජය	NNC	O
සියෝල්හි	NNP	B-LOC
දී	RP	O
දකුණු	NNP	B-LOC
කොරියානු	NNP	I-LOC
මහ	JJ	O
මැතිවරණය	NNC	O
පෙරේදා	NNC	O
